id	GSM595407_Control	GSM595411_Control	GSM595414_Control	GSM595416_Control	GSM595417_Control	GSM595419_Control	GSM595421_Treat	GSM595422_Treat	GSM595423_Treat	GSM595424_Treat	GSM595425_Treat	GSM595426_Treat	GSM595427_Treat	GSM595428_Treat	GSM595429_Treat	GSM595432_Treat	GSM595434_Treat	GSM595435_Treat	GSM595437_Treat	GSM595439_Treat	GSM595441_Treat	GSM595443_Treat	GSM595445_Treat
ABCC10	7.09003326086957	7.55729739130435	7.6545512173913	7.78749995652174	7.6714937826087	7.77492673913043	8.34743839130435	8.26675460869565	7.92010047826087	8.07867686956522	7.89296182608696	8.27423430434783	8.27916739130435	7.95318552173913	8.25802182608696	7.71200608695652	7.74524930434783	7.74448656521739	7.57837152173913	7.85289143478261	7.923856	7.48063282608696	7.61494169565217
ABCC11	4.6019602173913	4.63006004347826	4.80851808695652	4.68366152173913	4.88902982608696	4.7873942173913	4.75511447826087	4.68265730434783	4.57664460869565	4.42260156521739	4.50687643478261	4.66357934782609	4.64800091304348	4.42140865217391	4.7187717826087	4.69619326086957	4.49548434782609	4.52006334782609	4.4325037826087	4.7882387826087	4.76256547826087	4.74947291304348	4.71752013043478
ABCC12	3.84176986956522	3.6590162173913	3.68950126086957	3.93827656521739	3.66135104347826	3.57201926086957	3.78976826086957	3.78732108695652	3.90872326086957	3.85874873913043	3.90039656521739	3.84734404347826	3.68246586956522	3.86345704347826	3.89107230434783	3.80817139130435	3.74721165217391	3.76262613043478	3.754657	3.78950339130435	3.68081247826087	3.7278702173913	3.7177497826087
ABCC13	4.38824408695652	4.59779526086957	4.61225508695652	4.44551408695652	4.47630073913043	4.54041860869565	3.80691160869565	3.71676486956522	4.00292247826087	3.91441891304348	3.82848447826087	4.12866147826087	4.15055869565217	3.83970704347826	4.069275	4.30189395652174	4.08623839130435	3.93956691304348	3.84445673913043	3.89822413043478	3.96303752173913	3.98683791304348	4.1484112173913
ABCC2	4.4801207826087	4.57641091304348	4.85577943478261	4.78440604347826	4.59447465217391	4.62698595652174	4.31345391304348	4.24522426086957	4.39663613043478	4.23335660869565	4.41436560869565	4.63726030434783	4.084438	5.01569134782609	4.74707360869565	4.77940117391304	4.43320239130435	4.49593913043478	4.5433817826087	4.35704956521739	4.80276847826087	4.56081286956522	4.09261473913043
ABCC3	7.19582626086957	7.03443517391304	7.30102095652174	7.1635362173913	7.91400265217391	7.50138939130435	8.09729286956522	8.10430226086956	7.53843943478261	8.10668595652174	7.70690108695652	8.2226277826087	8.45908465217391	7.48126639130435	8.25640413043478	8.11661182608696	7.95153547826087	8.34708352173913	7.90533773913043	8.57758443478261	8.06804408695652	8.36011130434783	8.26762704347826
ABCC4	6.43862852173913	6.7065492173913	6.20892073913044	6.32570595652174	5.93396308695652	6.57738252173913	5.58922569565217	5.6407612173913	6.04350917391304	5.97181586956522	5.94413430434783	5.74738134782609	5.93105352173913	5.88206426086956	5.953678	6.11146760869565	5.86671686956522	5.60932834782609	5.68765513043478	5.61136543478261	5.89152560869565	5.62794756521739	5.85497326086957
ABCC5	5.97678486956522	6.20271617391304	6.75806260869565	6.02398643478261	6.50202856521739	6.27982882608696	7.28553752173913	7.56527552173913	6.85304695652174	6.73275247826087	6.76625595652174	6.73417795652174	6.78802234782609	7.34690460869565	7.46607443478261	6.24906252173913	6.73050504347826	6.59392404347826	6.78022265217391	6.69180008695652	6.96019534782609	6.63546726086957	6.54345356521739
ABCC6P1	4.31832756521739	4.76226	4.31573786956522	4.70136334782609	3.90491686956522	4.48114260869565	4.52995008695652	4.29011530434783	5.17956060869565	4.63162091304348	4.62143441304348	4.71011182608696	5.16506913043478	4.49917882608696	4.44015865217391	4.34407473913044	4.36253039130435	4.61281056521739	4.48728126086957	4.58062830434783	4.52044743478261	4.83950082608696	5.0543892173913
ABCC8	7.0472237826087	5.55473139130435	5.38435765217391	5.96157308695652	5.22055552173913	5.5000992173913	5.38212408695652	5.16913139130435	5.30511152173913	5.22429008695652	5.40071486956522	5.45178795652174	5.35240013043478	5.46185239130435	5.26983573913043	5.46567604347826	5.21723865217391	5.35816869565217	5.13959308695652	5.26223726086956	5.37588652173913	5.25485708695652	5.54251113043478
ABCC9	4.94781817391304	4.909355	4.19497656521739	4.75645830434783	4.58913782608696	4.82789273913043	4.27909665217391	4.58109930434783	5.0043487826087	4.94982560869565	4.78518069565217	4.77293747826087	4.67200573913043	4.31046965217391	4.07263895652174	4.83685195652174	4.77149960869565	4.71262547826087	5.16326634782609	4.65164752173913	4.65297543478261	4.728175	4.59257304347826
ABCD1	6.502181	6.17044582608696	6.58620734782609	6.69212595652174	6.86493817391304	6.59392404347826	6.64121234782609	6.40888982608696	6.33203143478261	6.49466739130435	6.2933197826087	6.7518022173913	6.618205	6.3417152173913	6.57724495652174	7.60095343478261	7.3171827826087	7.16832452173913	6.72979860869565	7.11980795652174	7.04660595652174	7.0816357826087	7.19915315217391
