id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 MCF2 	2.61288125	2.60606175	2.597850125	2.6166415	2.617394	2.62585875	2.6398296875	2.6160155
 MCF2L-AS1 	5.49638025	5.620744375	5.587066125	5.5756175	5.6021005	5.54498225	5.57354875	5.54333975
 MCF2L 	5.089365875	5.272890625	5.00145275	4.992543375	4.9557025	5.03683525	4.8612255	4.983042125
 MCF2L2 	3.527452125	3.5205625	3.54582	3.5466295	3.55818575	3.46604875	3.558008875	3.527966125
 MCFD2 	7.2075055	7.050864625	7.030562875	7.16103925	7.065857125	7.159246	7.059407625	7.074485875
 MCHR1 	4.741728	4.840431375	4.740347375	4.84882325	4.821365125	5.039349125	4.731679625	4.83531525
 MCHR2 	3.1418885	3.099009625	3.115401	3.089635875	3.0911315	3.35332325	3.0348625	3.07409175
 MCIDAS 	5.245100375	5.41787825	5.237301125	5.2309869375	5.340416125	5.377705375	5.322260375	5.416664
 MCL1 	9.9066435	9.484660875	9.5443355	9.81034175	9.806704125	9.726714	9.300301125	9.333526375
 MCM10 	3.641703625	3.8742135	3.755218625	3.95951975	3.906737625	4.145278	3.719826875	4.21099175
 MCM2 	5.444127875	5.561920375	5.535562375	5.60795	5.551960125	5.757107	5.480940125	5.698985
 MCM3 	6.955458875	7.0621995	6.95715225	7.12555925	7.023886625	7.150954125	6.956013375	7.098197375
 MCM3AP-AS1 	4.60039675	4.527671	4.53646175	4.5901955	4.48635475	4.676021	4.548993625	4.522871125
 MCM3AP 	6.349640125	6.3253791875	6.3655781875	6.355602375	6.314827125	6.3771390625	6.3431045	6.3490615625
 MCM4 	5.959270875	5.961413125	5.915135125	6.270016875	6.10653375	6.256799875	6.01214725	6.295090375
 MCM5 	7.00798125	7.220693375	6.95279275	7.00443275	6.983781375	7.13857775	6.9804115	7.22117475
 MCM6 	5.9458065	5.865094	5.85395875	6.502356125	6.3621485	6.160426	6.08999825	6.3150965
 MCM7 	6.40338375	6.453222125	6.411994125	6.30015225	6.257378375	6.27043175	6.365177	6.528420125
 MCM8 	5.60803825	5.3946525	5.60541475	5.58493475	5.718795875	5.252707875	5.35227	5.53821125
 MCM9 	6.150072625	6.102357875	6.224932	6.1031548125	6.060119625	5.94794725	6.1082465	6.11150525
 MCMBP 	7.9254325	7.651442	7.717224875	7.742040875	7.7180205	7.641319375	7.6371925	7.564445
 MCMDC2 	2.438442375	2.385523875	2.4156294375	2.386225125	2.382478375	2.24453675	2.4143933125	2.3959999375
 MCOLN1 	7.353890375	7.52416525	7.2325815	7.908635875	7.466781125	7.975252	7.45212875	7.34719075
 MCOLN2 	4.1137285	3.9268234375	4.089363125	3.71610125	3.894261	3.497958625	4.067529375	4.0274745
 MCOLN3 	4.024981125	3.94935025	4.046739875	3.80544525	3.709869875	3.665393	3.8423875	3.6888735
 MCPH1 	5.402111875	5.25815675	5.41259625	5.39415525	5.37858925	5.2537255	5.33559875	5.347492
 MCRS1 	6.71321475	6.838505	6.737067125	6.79072475	6.74088675	6.902514125	6.673991	6.610327375
 MCTP1 	5.738360375	5.30844675	5.634454375	5.9397515	6.659260875	5.572978375	6.001757125	6.148366625
 MCTP2 	6.1459305	5.7575345	6.257943375	6.3621485	6.320885625	6.1441785	6.1098655	6.29778825
 MCTS1 	3.976845875	3.9734845	4.06305325	4.05724275	4.034499625	3.92201275	4.03277625	4.0485955
 MCU 	6.99958775	6.73845875	6.88500225	6.792088625	6.82226025	6.519753	6.950748125	6.82158475
 MCUR1 	6.9880555	6.722692375	7.073227125	6.729124875	6.584153875	6.589257625	6.71540475	6.753540375
 MDC1-AS1 	4.583105	4.737492	4.75590625	4.630897625	4.650661375	4.310695875	4.613041125	4.719709
 MDC1 	6.16703475	6.128864625	6.175236375	6.151210875	6.035363375	5.9527155	6.152902125	6.140176125
 MDFI 	6.468912875	6.574229875	6.466804625	6.509001625	6.51174575	6.771887375	6.512043875	6.634673625
 MDFIC 	7.344105125	7.397532	7.324864625	7.37472725	7.391161375	7.33173175	7.3833575	7.52193925
 MDGA1 	5.576094375	5.68640375	5.552556375	5.5671145	5.401822	5.60948425	5.553177625	5.504153
 MDGA2 	2.64598475	2.60606175	2.601726125	2.6166415	2.617394	2.717058375	2.59608875	2.6160155
 MDH1 	5.814984625	5.715171125	5.835313625	5.9527155	5.79825225	5.76578475	5.79866575	5.766665375
 MDH1B 	3.184474125	3.035450625	3.159331375	3.25268425	3.189725	2.9089115	3.643879625	2.88093975
 MDH2 	7.076327625	7.147539	7.07475725	7.346622375	7.107928	7.260293	7.086909375	7.119458375
 MDK 	7.241494	7.678716375	7.2745705	7.396333375	7.513265625	7.857565125	7.53268025	7.7540735
 MDM1 	4.2693044375	4.183144125	4.252530375	4.0782335	4.2205405	4.0529465	4.227996	4.19220875
 MDM2 	7.235668375	7.1307085	7.375086875	7.8158725	7.62767275	7.61708625	7.855582625	7.768593375
 MDM4 	5.61448825	5.550912875	5.883179	5.668670625	5.622258375	5.350450625	5.6753825	5.668670625
 MDN1 	5.931969125	5.957487875	6.0166385	6.08314275	6.029282375	5.867619125	5.850699625	5.968517125
 MDP1 	5.191355875	5.142649125	5.18670575	5.104391	5.13015475	5.159127375	5.125883	5.1922151875
 MDS2 	4.337186125	4.258592	4.325833625	4.253804625	4.215013875	4.155844875	4.270425875	4.264132375
 ME1 	6.5177265	6.449048125	6.629188875	7.450248625	7.2089865	7.270609375	6.90084525	6.793792875
 ME2 	7.631133875	7.383023	7.429265625	7.896200125	7.93250225	7.930137	7.65166475	8.003761875
 ME3 	5.793581125	6.06096075	5.8888395	6.187062625	5.897820125	6.109303375	5.893856875	5.722120875
 MEA1 	6.810377125	6.97017425	6.90838825	6.95181875	6.916453	7.0607835	6.84108525	7.00404675
 MEAF6 	7.14657	6.87459025	7.141469	6.886312375	6.887605625	6.643498875	7.051427375	6.9180765
 MECOM 	7.098197375	6.919058625	6.916256375	6.37442	6.14927025	6.069326375	6.479126875	6.42311325
 MECP2 	6.320110875	6.29290775	6.3393426875	6.31937525	6.318961625	6.278977	6.326794	6.31951325
 MECR 	4.740347375	4.7132555	4.671859125	4.77064575	4.699217625	4.632484125	4.66824625	4.658068
 MED1 	7.85812275	7.802807625	7.94782925	7.821026125	7.891726	7.555304875	7.562349625	7.76194625
 MED10 	6.794369	6.8155555	6.916094	6.874822	6.6946753125	6.9352055	6.8351925	6.784019875
 MED11 	6.932635375	6.669709875	6.800610875	6.6829165	7.027867	7.032338	6.88426425	6.40147275
 MED12 	7.0225575	7.186314875	7.059407625	6.988326375	7.08465725	6.752767625	6.998316	7.084901375
 MED12L 	3.255656375	3.24319075	3.2591455	3.273619	3.295889	3.242857625	3.281106625	3.2427524375
 MED13 	8.641547625	8.347925	8.5596015	8.275777875	8.27640225	8.035056375	8.288531875	8.426409875
 MED13L 	8.707695125	8.673680375	8.714676375	8.409395875	8.517015375	8.15048975	8.569044125	8.605278125
 MED14-AS1 	3.812931625	3.973863375	3.745484	3.8827205	3.9834245	3.94166975	3.92201275	3.8840905
 MED14 	7.23641925	7.075649	7.1390695	7.1207185	7.11191725	6.742552125	7.03917925	7.0248755
 MED15 	7.042358625	7.18575425	7.073925	7.082401625	7.07198075	7.07232975	7.06200225	7.074927
 MED16 	7.027037	7.28497	6.961015375	7.061859	7.053836625	7.19161325	7.060494	7.101350625
 MED17 	6.467035	6.453609875	6.487096375	6.424278	6.51916875	6.059429875	6.296540625	6.413648125
 MED18 	5.37820375	5.44890625	5.498295375	5.462731625	5.417235	5.222009125	5.456212	5.437548125
 MED19 	5.34114225	5.183145625	5.25567725	5.34541725	5.255156	5.26003075	5.21303425	5.119206375
 MED20 	5.396633875	5.337408625	5.31679825	5.429469	5.396150375	5.31436025	5.36462875	5.34226975
 MED21 	8.014012875	7.69306375	7.875027375	7.624995125	7.59279875	7.289868625	7.66813725	7.70384675
 MED22 	6.579871375	6.58498525	6.559485	6.54343725	6.59228575	6.76491275	6.625501125	6.638636125
 MED23 	6.60103175	6.506896125	6.62398075	6.524314	6.521765375	5.899135375	6.51481975	6.521073375
 MED24 	6.8022675	6.8441195	6.824361375	6.9234885	6.8294515625	6.90838825	6.82531625	6.85536675
 MED25 	6.425642875	6.5501145	6.41806925	6.429780625	6.427156125	6.464967	6.369030875	6.437742875
 MED26 	6.51953775	6.524314	6.439368375	6.444099875	6.43376775	6.47308775	6.4660595	6.44558525
 MED27 	6.1142255	6.076089375	6.158456375	6.350459375	6.2286645	6.10653375	6.073840625	6.023298625
 MED28 	6.48851575	6.259556375	6.53497875	6.12996725	6.284568875	5.67006075	6.233661125	6.189488375
